rank,name,artist,album,popularity,duration_ms,id
1,Kashmeeru,Manan Bhardwaj,ANIMAL (TELUGU) (Deluxe Edition Album),35,217050,4Hp7r0ZMRTb4Z5oFVI6zer
2,Gundello Edo Sadi,Chakri,Golimaar,50,252305,258qXhMkXXoK6mrWrZmP3f
3,Allantha Doorala,S. P. Balasubrahmanyam,Expression Queen Trisha,53,273293,3t97pDJOyXm5cky9W8ccu2
4,"Pyaar Ki Ek Kahani (From ""Krrish"")",Sonu Nigam,"Bollywood Best Duet Songs Sonu Nigam,Shreya Ghoshal",36,388706,3BFdLbQxgF32h9fC7uRA4U
5,Kalloki Dilloki,Chakri,Maskaa,50,256626,3GozcrNiaaol8QHf7Wv5zd
6,Diwali Deepaanni,"Andrea, Kalyan",Dhada,61,233891,5E68CmEBJp76VtnhpHndjK
7,Gorantha Prema,R. P. Patnaik,Jayam,35,68146,2VdCb0OsSBz7K2exsEXlX2
8,Aakasam Yenaatido,S. Janaki,Nireekshana,53,237378,69qYaWssICBZIbhryZ5VSb
9,Evarevaro,Vishal Mishra,ANIMAL (TELUGU) (Deluxe Edition Album),60,250329,6ewMZQkr6i51zg2gsmfiC2
10,Disturb Chethannade,Raghu Kunche,Devudu Chesina Manushulu (Original Motion Picture Soundtrack),55,220986,0DFKe7DEIGBlo8udOHkTzb
11,Nuvvante Na Navvu,Haricharan,Nani Unplugged,47,274307,1HAi1d5FRF5lVzSU0n23wu
12,Nuvvante Naaku Istam,R. P. Patnaik,Nuvvu Leka Nenu Lenu (Original Motion Picture Soundtrack),39,249015,0GdqslyQxu5GcAQSggao0j
13,Yeppatiki (Veyi Kannulatho),R. P. Patnaik,Nee Sneham,41,203441,1lcSsqeTTLVoiww4Am2hyb
14,"Ee Raathale (From ""Radhe Shyam"")",Yuvan Shankar Raja,"Ee Raathale (From ""Radhe Shyam"")",59,232762,50RcuWjfUcoJfWMNegXF0b
15,Evvaru Emanna,R. P. Patnaik,Jayam,43,247933,10sjk00adoAGSygCUY9AkX
16,Maina Maina,Shaan,Prema Khaidi,0,268854,2Xxac1rONx4MkjMeVWLeqP
17,"Ney Veyrey (From ""ANIMAL"") [Telugu]",Karthik,"Ney Veyrey (From ""ANIMAL"") [Telugu]",46,271299,7nqqPtwrJd3czG53MCx7p5
18,Veyira Cheyyi Veyira,Saloni,Panjaa,63,269761,5z2QHBeHThZ4l8EtRQzQoJ
19,Manohari,Mohana Bhogaraju,Baahubali - The Beginning,56,214517,05Z15xjiZAyStB0DX1qeyk
20,Vennelintha,Venu Srirangam,Tulasi (Original Motion Picture Soundtrack),54,257436,0tMlD1ZUdBipaJeO3n21zT
